Time,Position,Velocity
1705983179.3601387,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983179.4560468,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983179.5518672,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983179.6478794,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983179.7596157,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983179.855534,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983179.9515176,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983180.0475457,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983180.159301,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983180.2549977,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983180.3509877,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983180.4631011,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983180.5590398,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983180.6547444,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983180.7506697,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983180.8625176,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983180.9585037,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983181.0545833,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983181.1502512,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983181.2620692,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983181.3580172,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983181.45412,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983181.5499556,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983181.661768,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983181.7578197,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983181.8536742,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983181.9495907,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983182.0612023,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983182.1573281,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983182.2531078,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983182.3494065,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983182.4609098,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983182.5568995,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983182.6527748,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983182.748482,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983182.86024,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983182.9570205,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983183.0522983,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983183.1640623,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983183.2600448,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983183.355865,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983183.451928,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983183.5637324,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983183.6594715,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983183.75662,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983183.8514524,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983183.9631479,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983184.058972,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983184.1553323,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983184.2507799,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983184.3627193,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983184.4587176,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983184.5544064,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983184.6504104,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983184.76224,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983184.8580844,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983184.9538903,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983185.04996,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983185.161603,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983185.2576187,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983185.3533766,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983185.465238,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983185.5612996,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983185.6571054,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983185.7530587,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983185.8649316,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983185.9608264,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983186.0567527,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983186.1526372,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983186.2646344,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983186.3605685,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983186.4569333,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983186.5520446,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983186.6641097,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983186.7601113,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983186.8557408,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983186.9518044,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983187.063591,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983187.159508,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983187.2555182,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983187.351358,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983187.4631066,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983187.5588832,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983187.654727,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983187.7668777,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983187.8626869,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983187.9587169,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983188.0543242,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983188.1662116,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983188.262281,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983188.3582683,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983188.4539943,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983188.5657964,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983188.6619473,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983188.757709,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983188.8537908,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983188.9654703,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983189.061349,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983189.1572704,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983189.2532895,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983189.3651392,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983189.4610043,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983189.556935,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983189.652742,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983189.764498,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983189.8604002,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983189.956388,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983190.0523875,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983190.164239,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983190.2600985,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983190.3559413,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983190.4677935,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983190.5636642,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983190.659655,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983190.7556021,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983190.8674092,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983190.9631984,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983191.059216,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983191.1552696,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983191.266876,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
